file_name,value_per_atom,space_group
14_Pd2Ta2,-0.3572595305178883,P4/nmm
16_Ac4I6,-1.145669893512698,R-3c
22_RhGe3,-0.0905160589754983,Imm2
24_Cu2Ga2,-0.0461503759196872,Pmma
27_Cr4Sr5,0.8411270269282158,I4/mmm
30_In5Br,-0.1449179659511769,Amm2
32_In4Br12,-0.8565492677849518,Pnma
34_Nb4W8,0.1253886633291424,Pnma
35_Ag4Sn8,0.0393953092254234,I4_1/amd
40_Al2Rh,-0.7879958682286438,I4/mmm
42_Au2P,0.3033008734032615,I4/mmm
43_Ir2Ta4,-0.0336096433566623,Pnnm
46_Cr3Sr,0.7330921242841102,P4/mmm
51_Ag2Br2,-0.4385558393715043,P2_1/m
58_Na2Pt4,-0.0507407090270112,Cmcm
62_FeIr2,0.0148692361136006,I4/mmm
71_Au6Mn2,0.0028625383247353,Cmcm
78_Ni4Sb2,0.1770521249294952,I4_1/amd
79_Ag2Al6,0.0341048023002974,I4/mmm
84_AcMn,0.3485148062906855,P4/mmm
88_Ag2Al2,-0.0094356971058457,I4_1/amd
90_IrSn,-0.0646903528158198,P4/mmm
91_V3Br,0.5709922328291892,I4/mmm
109_V2Br2,-0.1510803872846198,P4/nmm
112_VBr3,-0.2619159193614142,P4/mmm
122_Na2Pt,-0.1094687629154324,P4/mmm
124_PbV3,0.3868962014052073,Fm-3m
126_Ta4Ge2,0.5502794154585248,I4_1/amd
129_InPt,-0.2747187912913738,Fm-3m
131_NiSn,-0.1266843635676862,P-6m2
134_Au4Sr16,-0.1130436182400256,I-43m
137_Au3P,0.2305156716459713,Immm
145_Cu4Fe8,0.9290346282517644,Pa-3
157_Ag3Al4,0.003962790239954,P-1
158_Cu2Ge4,0.1885786881460269,Pnnm
159_CrMn,0.2433130873062836,P-6m2
161_Ni2Ta4,0.6395073564584782,Fd-3m
165_Ni2Sn,-0.1054898433116857,I4/mmm
175_Fe3As,0.0166827533278075,Cmmm
177_Au3Sr,0.7382655086643606,Pm-3m
178_SrW2,3.2276063672278554,Fm-3m
184_W3Sb,0.6142879079802093,Fm-3m
191_Mo4Nb,1.5855713652165122,Im-3m
198_K8P4,-0.0861383471739086,Pnma
199_Al2V,3.021478292177701,Fmmm
207_CrRh3,-0.0699913797349944,I4/mmm
210_Al18Pb6,0.208434471028663,Pmmn
214_PI,0.6761453129882056,R-3m
217_Ge8Br,0.2846492762005539,I4/mmm
223_Pd12Ta18,-0.1882194332244068,P4_2/mnm
234_Ag5In,0.0038147416913586,P4/mmm
244_Ni4Rh2,0.1668692690605411,Cmmm
245_AlRh2,-0.637019060757113,I4/mmm
246_WSb,0.6402363637939983,Pm-3m
248_Cu5Pt7,-0.1172246329049636,P1
249_Ni8Ta16,-0.0807124775193379,Fd-3m
257_AcMn,0.4122934724034772,P4/mmm
258_Cr5Nb,0.1469112927238486,F-43m
267_CrP7,0.6510238187764203,Fm-3m
275_V4W4,0.2378765211926374,Pnma
281_YbBi,-0.1419430461440991,F-43m
294_RhU,-0.4408425554688815,P4/mmm
302_CuK,0.4781945344055849,Pm-3m
304_AlCu5,-0.1362652104227132,Cmmm
308_Na4Pb,-0.0642697687374035,Im-3m
309_Fe16Pd8,0.2678129794078536,Fd-3m
311_Fe3Pd,0.0705064552450434,Fm-3m
314_Mo3Ta,-0.1259140954870599,P4/mmm
320_AuGa3,-0.044392137011382,P4/mmm
321_PAs,0.552972441845033,Pm-3m
325_Fe5Ir,0.1523481086559973,P4/mmm
329_SnTa,1.464329287677855,F-43m
341_PtV3,-0.2432882618193055,I4/mmm
344_Nb3W,-0.0274865342817491,Immm
347_SmTa,0.266372281515423,P-6m2
352_AuP3,0.5236402867825065,Cmmm
