file_name,formula,space_group,value per atom,value,id
2_Ni4Ta6.cif,Ni4Ta6,R-3c,0.10174024974414664,1.0174024974414664,PN_MCKVEQNTJFRUHOURCR2HCEB35KDFRETL
3_Mn4Sb2.cif,Mn4Sb2,I4_1/amd,0.49598083178150887,2.975884990689053,PN_FGGHB2NFWUCYD3YZO4FWN3QVOKCTVI6K
4_Ir2Na2.cif,Ir2Na2,Imma,0.47213003244004526,1.888520129760181,PN_BAO7ZSBZZCMA7PH7QMR7WLDI72GOELND
5_MoSm.cif,MoSm,R-3m,0.5114126186332761,1.0228252372665523,PN_4YR2JLVZHJLC3F2TYPTOVDBJJ52C6XIE
6_Sn17P12.cif,Sn17P12,I-43m,0.2150613449970501,6.236779004914453,PN_H6P36AVAKDU244QNQGGCJ7YLC4A4F2YE
7_Sr6Br4.cif,Sr6Br4,R-3c,-1.1913767863029878,-11.913767863029879,PN_ZYAHBKLTYXJOLYLD5YFTVBNOSDYIGR6J
8_Ge4P12.cif,Ge4P12,Pnma,0.20868503656866455,3.338960585098633,PN_LPSIHXMY4PO3JLA6HT25TBUO3GTG6WUV
9_Mn8Sb.cif,Mn8Sb,I4/mmm,0.10883672676979472,0.9795305409281525,PN_UHJQ2SH2GXQ7QNGQO5WBAFRBBVHRU2KX
10_Ba2Bi3.cif,Ba2Bi3,Immm,-0.8094130623309983,-4.0470653116549915,PN_AVCLYOZGXY4UAYGMVTDALSWZ6ADSTRLS
11_Mo3W3.cif,Mo3W3,C2/m,-0.0006663757429568781,-0.003998254457741268,PN_R6Z4HO26474O43IIUBSFSOA2NTVFQPIJ
12_InSn5.cif,InSn5,Cm,0.00035555629739469907,0.0021333377843681944,PN_7OK3KACOB6F3RRLJTWVVBYDZFINCNOIS
13_Ga2Sr.cif,Ga2Sr,P6/mmm,-0.533854310311091,-1.601562930933273,PN_ZDKNO2QVSUX4H46TI7XIY2SR75JR6I4L
14_Pd2Ta2.cif,Pd2Ta2,P4/nmm,-0.3572595305178883,-1.4290381220715531,PN_2THSMK54QTI4S5CDHJ5HHAJ2UZJXQI7E
15_CuNb.cif,CuNb,P4/mmm,0.21193338329709643,0.42386676659419287,PN_FTY5KDGIVVULUT4335IVJ6S7LBZZWZ3D
16_Ac4I6.cif,Ac4I6,R-3c,-1.1456698935126979,-11.45669893512698,PN_7XT7P7PRRN2XYU7E6EMXOYTLRZYI4XZH
17_Fe6Sb18.cif,Fe6Sb18,Pmmn,0.1547501784091292,3.7140042818191006,PN_GXXBTPYXX26PR5KZKA4XWFI7R2ZZWR6P
18_InSn5.cif,InSn5,Cm,-0.0004405329807042335,-0.002643197884225401,PN_HHZIQY6L4TQ2ACVIENG2OQA44XOCYAPS
19_In4Sn2.cif,In4Sn2,C2/m,0.005837277427945746,0.03502366456767447,PN_OMUYHQMIFAJICMZQFDJ65YPDNHSFQRK3
20_Sr6Br4.cif,Sr6Br4,R-3c,-1.1928946056775946,-11.928946056775946,PN_EHHLOG6BPIOJ4UZDYH2Y6UH5UHHWTTEC
21_In2Sn4.cif,In2Sn4,C2/m,0.001088492275230853,0.0065309536513851185,PN_BHUM6MV7PNVOPGJJTQQJPVOHU2LXXZ76
22_RhGe3.cif,RhGe3,Imm2,-0.0905160589754983,-0.3620642359019932,PN_HCRIS4VB2MV62YFZYVEDWOOGDZQLNK25
23_CuEu.cif,CuEu,Pm-3m,-0.15980741365439277,-0.31961482730878554,PN_HDASQCPBCGTE57FPWBFK2F5T4Z4UNLBN
24_Cu2Ga2.cif,Cu2Ga2,Pmma,-0.04615037591968729,-0.18460150367874917,PN_KHNXASAIZ6GQOSR2M4TPWF6E3CGEJLDI
25_Fe4Na8.cif,Fe4Na8,Pa-3,1.6371448910768656,19.645738692922386,PN_CFBYVTGSORFVECDSGSWJ5GNXEIDYLC5F
26_PtSm.cif,PtSm,Pm-3m,-1.2893512592068017,-2.5787025184136034,PN_56FOS35LNYTSZQQON5QSVO37GCNDGZ6X
27_Cr4Sr5.cif,Cr4Sr5,I4/mmm,0.8411270269282158,7.570143242353943,PN_TXYJDUBC2VVQEK6PVTCQ2TCJONKITHPA
28_CeSb.cif,CeSb,P-6m2,-1.0332635248915611,-2.0665270497831223,PN_CMZGAVG6M63RGRR4V7CEOZAR3KDI3DH5
29_Nb2W6.cif,Nb2W6,Pmmn,0.37008034385891797,2.9606427508713438,PN_BPGTW25URYPIGNDEHBGETRZ3IAHCGO54
30_In5Br.cif,In5Br,Amm2,-0.14491796595117692,-0.8695077957070616,PN_HPCBQCF2XGSVGA724LZJU4ELIP43O6M6
31_CsNi.cif,CsNi,Amm2,1.2079635948348568,2.4159271896697136,PN_TPYEHLVI4LKEM5NQMVM6ENBZCUH5G7YF
32_In4Br12.cif,In4Br12,Pnma,-0.8565492677849518,-13.704788284559228,PN_VU446KSTRJX7ITZQXIQZAUZ4V7HBISNU
33_Ir3K.cif,Ir3K,Cmmm,0.9047773221114603,3.6191092884458413,PN_XKH7FJPJ7FB3PNEJXR4EQJEOBZS6WM23
